Ticker,Category,Holding_Period,TOM_Return,Baseline_Return,Difference,TOM_WinRate,Baseline_WinRate,Num_Trades,P_Value,Year_End_Effect,Golden_Week_Effect
^N225,Japan_Indices,1,0.0009199939728966569,0.001160743823176125,-0.0002407498502794681,0.6,0.5444444444444444,180,0.8665672580427853,-0.0019354430931029717,0.0027978118938967607
^N225,Japan_Indices,2,0.0008166741004053571,0.0027465185989477866,-0.0019298444985424296,0.5388888888888889,0.6166666666666667,180,0.31509642478975963,-0.0019354430931029717,0.0027978118938967607
^N225,Japan_Indices,3,-0.0003579393242894914,0.0006665875872875456,-0.001024526911577037,0.5277777777777778,0.5111111111111111,180,0.7094195576157929,-0.0019354430931029717,0.0027978118938967607
^N225,Japan_Indices,5,0.0009806461492277358,0.0030966691474190377,-0.0021160229981913017,0.5555555555555556,0.6166666666666667,180,0.4797675022493626,-0.0019354430931029717,0.0027978118938967607
^N300,Japan_Indices,1,0.0011016591719676774,0.0018326314989712841,-0.0007309723270036068,0.5833333333333334,0.5833333333333334,180,0.595100605812557,0.00025479070470027325,0.0027535931357726114
^N300,Japan_Indices,2,0.001142867050418276,0.002152672775900466,-0.0010098057254821899,0.55,0.5666666666666667,180,0.5881306368399415,0.00025479070470027325,0.0027535931357726114
^N300,Japan_Indices,3,-0.00013981954894056204,0.001383162165142308,-0.0015229817140828702,0.5166666666666667,0.5388888888888889,180,0.5238377504749376,0.00025479070470027325,0.0027535931357726114
^N300,Japan_Indices,5,0.0015141456732771137,0.00022492432482992356,0.00128922134844719,0.5833333333333334,0.5277777777777778,180,0.6573470634759127,0.00025479070470027325,0.0027535931357726114
EWJ,Japan_ETFs,1,0.0009789094154603359,0.00017871516351032531,0.0008001942519500105,0.5611111111111111,0.4666666666666667,180,0.5424910296498281,0.00398799051041489,0.006162486475464115
EWJ,Japan_ETFs,2,0.0013930773140789763,0.0018388785957437035,-0.00044580128166472714,0.5388888888888889,0.5444444444444444,180,0.8070003545942338,0.00398799051041489,0.006162486475464115
EWJ,Japan_ETFs,3,0.0005497905605914768,0.0016486484017485656,-0.0010988578411570888,0.5,0.5722222222222222,180,0.6216733227016971,0.00398799051041489,0.006162486475464115
EWJ,Japan_ETFs,5,0.0015516969349524009,0.0028492865865916562,-0.0012975896516392554,0.5722222222222222,0.5388888888888889,180,0.6179971461712772,0.00398799051041489,0.006162486475464115
1321.T,Japan_ETFs,1,0.0005662501242067972,1.4090902370075974e-05,0.0005521592218367213,0.55,0.4777777777777778,180,0.6881063454373709,-0.0033957929121215705,0.003444020317533356
1321.T,Japan_ETFs,2,0.0005045905380639069,0.0015085510181597644,-0.0010039604800958575,0.5166666666666667,0.6277777777777778,180,0.6460353042015095,-0.0033957929121215705,0.003444020317533356
1321.T,Japan_ETFs,3,-0.0008475419127225228,0.002396782728337409,-0.003244324641059932,0.48333333333333334,0.6,180,0.24110461505190225,-0.0033957929121215705,0.003444020317533356
1321.T,Japan_ETFs,5,-0.00030297856786412614,0.0026815195360344306,-0.002984498103898557,0.5388888888888889,0.6,180,0.3615300911059357,-0.0033957929121215705,0.003444020317533356
1306.T,Japan_ETFs,1,0.0008934307996331815,0.0006268765786955721,0.00026655422093760936,0.5666666666666667,0.5055555555555555,180,0.8417156292760203,-0.00045408966526137065,0.0018772852145624622
1306.T,Japan_ETFs,2,0.0009100559740874494,0.001398465986322463,-0.0004884100122350136,0.55,0.6111111111111112,180,0.81866917233052,-0.00045408966526137065,0.0018772852145624622
1306.T,Japan_ETFs,3,-0.0003121219903949362,0.002065212989437525,-0.002377334979832461,0.5277777777777778,0.5833333333333334,180,0.3811588540222376,-0.00045408966526137065,0.0018772852145624622
1306.T,Japan_ETFs,5,0.0005516370079738229,0.0013712060536750087,-0.0008195690457011858,0.5666666666666667,0.6333333333333333,180,0.794074966425454,-0.00045408966526137065,0.0018772852145624622
DXJ,Japan_ETFs,1,0.0012528873535924906,0.001675277169782457,-0.0004223898161899663,0.5833333333333334,0.5333333333333333,180,0.7829264312936614,0.004016655646735669,0.004468741184597094
DXJ,Japan_ETFs,2,0.0010420875478876492,0.0026836233007865684,-0.0016415357528989192,0.55,0.5277777777777778,180,0.4486944165797041,0.004016655646735669,0.004468741184597094
DXJ,Japan_ETFs,3,0.0003527219121280751,0.0037288420044039984,-0.0033761200922759233,0.5555555555555556,0.55,180,0.20351284862982846,0.004016655646735669,0.004468741184597094
DXJ,Japan_ETFs,5,0.002616273330050609,0.005314749319100616,-0.0026984759890500074,0.6,0.6166666666666667,180,0.3824611983987519,0.004016655646735669,0.004468741184597094
HEWJ,Japan_ETFs,1,0.0016512011641409865,0.0007417200710459655,0.000909481093095021,0.6086956521739131,0.5362318840579711,138,0.5681631176367803,0.003839121197469485,0.011678735969449456
HEWJ,Japan_ETFs,2,0.0013245307019337778,0.0008331551071112601,0.0004913755948225177,0.5507246376811594,0.5652173913043478,138,0.8347458045442976,0.003839121197469485,0.011678735969449456
HEWJ,Japan_ETFs,3,0.0004779222426054771,-0.0009038517420824738,0.001381773984687951,0.572463768115942,0.4927536231884058,138,0.6527147855168314,0.003839121197469485,0.011678735969449456
HEWJ,Japan_ETFs,5,0.0019855308583257955,-0.0011118708891081587,0.003097401747433954,0.6159420289855072,0.4927536231884058,138,0.35625484503813776,0.003839121197469485,0.011678735969449456
EWJ,Japan_Sectors,1,0.0009789160826021131,0.0001787086412942957,0.0008002074413078174,0.5611111111111111,0.4666666666666667,180,0.5424845212721798,0.0039879524302217535,0.006162493705065093
