Ticker,Category,Holding_Period,TOM_Return,Baseline_Return,Difference,TOM_WinRate,Baseline_WinRate,Num_Trades,P_Value
SPY,US_Large,1,0.0011769472347978043,0.0005949202836131978,0.0005820269511846065,0.6,0.4722222222222222,180,0.6401197869483015
SPY,US_Large,2,0.0020226983116984985,0.0023476795353623925,-0.00032498122366389406,0.5944444444444444,0.6166666666666667,180,0.8401194495686226
SPY,US_Large,3,0.002878859291934876,0.002380543491980924,0.0004983157999539521,0.6,0.6055555555555555,180,0.8140657193147206
SPY,US_Large,5,0.004451208660603484,0.0038045894187625287,0.0006466192418409554,0.6388888888888888,0.6166666666666667,180,0.7988550714579437
QQQ,US_Large,1,0.0016247675499704082,0.00031351260928344233,0.0013112549406869658,0.5888888888888889,0.5055555555555555,180,0.34925788465025
QQQ,US_Large,2,0.002515200103019353,0.0023711883136279853,0.0001440117893913677,0.5666666666666667,0.5944444444444444,180,0.936648219692028
QQQ,US_Large,3,0.003399830814138556,0.002564928885178582,0.0008349019289599739,0.5722222222222222,0.5833333333333334,180,0.7252759486334983
QQQ,US_Large,5,0.004715276669642483,0.004282890884172668,0.0004323857854698146,0.6277777777777778,0.5444444444444444,180,0.8886444687069915
DIA,US_Large,1,0.0009035684379308357,0.0007877709654379097,0.00011579747249292603,0.5944444444444444,0.49444444444444446,180,0.9253976115798656
DIA,US_Large,2,0.0013887219061169559,0.0025508320653820932,-0.0011621101592651374,0.6055555555555555,0.6,180,0.47216340251041533
DIA,US_Large,3,0.0025792679006871964,0.002596398519562238,-1.7130618875041675e-05,0.6111111111111112,0.5777777777777777,180,0.9936459104028683
DIA,US_Large,5,0.004452247230022147,0.0038563878981249158,0.0005958593318972309,0.6166666666666667,0.6166666666666667,180,0.8052052287427545
IWM,US_Large,1,0.0007668850849580762,0.000650757116020348,0.00011612796893772817,0.5944444444444444,0.4888888888888889,180,0.9435329351436681
IWM,US_Large,2,0.001661080764018885,0.003573737424238502,-0.001912656660219617,0.55,0.5611111111111111,180,0.38242235708669237
IWM,US_Large,3,0.002025445570865631,0.0033153287750246952,-0.0012898832041590641,0.5388888888888889,0.5777777777777777,180,0.6496239995429944
IWM,US_Large,5,0.0033133973128442597,0.00607119201448217,-0.0027577947016379106,0.5333333333333333,0.5722222222222222,180,0.433121479285584
XLF,US_Sectors,1,0.001373771523417707,0.0011338637392711035,0.00023990778414660348,0.6,0.4666666666666667,180,0.8879191790551137
XLF,US_Sectors,2,0.00176378050139703,0.0031997087393211437,-0.0014359282379241137,0.5833333333333334,0.5777777777777777,180,0.5110179271807483
XLF,US_Sectors,3,0.0030767664530593425,0.0029714977025355736,0.00010526875052376894,0.6,0.5555555555555556,180,0.969752015869147
XLF,US_Sectors,5,0.0054405180435524395,0.00495617915646411,0.00048433888708832983,0.5888888888888889,0.5944444444444444,180,0.8814022232337442
XLK,US_Sectors,1,0.0012289011747942463,0.0004127417917796937,0.0008161593830145526,0.5888888888888889,0.49444444444444446,180,0.5936241196352342
XLK,US_Sectors,2,0.0018761104416016772,0.0023758690846722675,-0.0004997586430705904,0.5611111111111111,0.5888888888888889,180,0.7955803150796031
XLK,US_Sectors,3,0.0028905700953881287,0.0025876246731578664,0.00030294542223026225,0.55,0.5833333333333334,180,0.9057729776375603
XLK,US_Sectors,5,0.004692316481247296,0.005022290642716035,-0.00032997416146873966,0.6222222222222222,0.5833333333333334,180,0.9167536004035386
XLE,US_Sectors,1,0.0014833169163472487,0.002578839193876589,-0.0010955222775293405,0.5611111111111111,0.5222222222222223,180,0.5848616586558497
XLE,US_Sectors,2,0.003140409615772757,0.003147320180547909,-6.910564775152155e-06,0.5333333333333333,0.5444444444444444,180,0.9980973429522819
XLE,US_Sectors,3,0.003473332810930162,0.004959133320943932,-0.0014858005100137702,0.5166666666666667,0.5777777777777777,180,0.692287205911392
XLE,US_Sectors,5,0.005827435758478462,0.005180651339255066,0.0006467844192233957,0.5333333333333333,0.6,180,0.8844804652156222
XLV,US_Sectors,1,0.0016568046443300303,0.00026512218686819443,0.0013916824574618358,0.6388888888888888,0.5055555555555555,180,0.23675235747707848
XLV,US_Sectors,2,0.0022011881607076136,0.0020740460748580884,0.0001271420858495252,0.5777777777777777,0.5555555555555556,180,0.9333711225756319
XLV,US_Sectors,3,0.0034207262379712788,0.001662172597372621,0.0017585536405986578,0.6,0.5333333333333333,180,0.38611918150745783
XLV,US_Sectors,5,0.0034593093313848903,0.0026757727866233687,0.0007835365447615215,0.6222222222222222,0.5666666666666667,180,0.7419460002077993
XLI,US_Sectors,1,8.585940011227006e-05,0.0008113637067022884,-0.0007255043065900184,0.55,0.49444444444444446,180,0.625330168768401
XLI,US_Sectors,2,0.0009631080618798378,0.0033234705425140123,-0.0023603624806341744,0.5333333333333333,0.6055555555555555,180,0.26034045448077975
XLI,US_Sectors,3,0.0024165416945181517,0.0035149160735726786,-0.001098374379054527,0.5833333333333334,0.5611111111111111,180,0.6787072875247098
XLI,US_Sectors,5,0.005023483116845519,0.004650716351186897,0.00037276676565862164,0.6111111111111112,0.6166666666666667,180,0.8992320365633
EWJ,International,1,0.0009789102290435653,0.00017871955927442688,0.0008001906697691385,0.5611111111111111,0.4666666666666667,180,0.5424925806748646
EWJ,International,2,0.0013930885148492945,0.0018388947688076141,-0.00044580625395831963,0.5388888888888889,0.5444444444444444,180,0.8069981263369389
EWJ,International,3,0.0005497848105437855,0.001648651467686549,-0.0010988666571427636,0.5,0.5722222222222222,180,0.6216705662086273
